,번호,카테고리,제목,등록일,link
28,5807,[장학],2023학년도 총동창회 장학생 선발 공고,2023-10-20,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465902&article.offset=0&articleLimit=500
29,5806,[수업],"2023학년도 겨울 계절수업 다른대학(순천대,부경대,제주대,한국교원대) 수학신청 안내(제출기한변경)",2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465807&article.offset=0&articleLimit=500
30,5805,[장학],(재)수림재단 제10회 동교인재상 선발 안내,2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465791&article.offset=0&articleLimit=500
31,5804,[장학],[근로]2023년 2학기 국가근로장학금 추가신청기간 안내[11.1.(수)~10.(금)],2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465790&article.offset=0&articleLimit=500
32,5803,[대학원],[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 추가 지원 안내,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465757&article.offset=0&articleLimit=500
33,5802,[대학원],2023학년도 전기 대학원별 학위논문심사 신청 안내,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465693&article.offset=0&articleLimit=500
34,5801,[수업],2023학년도 겨울 계절학기 자율도전학점제(자기주도형 활동) 참여자 모집,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465674&article.offset=0&articleLimit=500
35,5800,[대학원],2023-2학기 대학원별 졸업종합시험 결과 발표,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465655&article.offset=0&articleLimit=500
36,5799,[대학원],2023-2학기 대학원별 외국어시험 면제 신청 승인 결과 확인 안내,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465570&article.offset=0&articleLimit=500
37,5798,[대학원],2023-2학기 대학원별 원격수업 운영 강좌 강의평가(1차) 시행 안내,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465564&article.offset=0&articleLimit=500
38,5797,[장학],2023년 대구광역시 저소득주민 장학생 선발계획 안내,2023-10-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465468&article.offset=0&articleLimit=500
39,5796,[수업],2023학년도 2학기 원격수업 강의평가(1차) 실시 안내,2023-10-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465458&article.offset=0&articleLimit=500
40,5795,[수업],2023학년도 겨울 계절수업 운영알림(수강신청 11.20-11.21),2023-10-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465405&article.offset=0&articleLimit=500
41,5794,[수업],2023년도 겨울계절수업  개설희망 과목 학생수요조사 실시 안내,2023-10-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465239&article.offset=0&articleLimit=500
42,5793,[수업],"2023학년도 겨울 계절수업 다른대학(충북대,서울대,창원대,충남대) 수학신청 안내",2023-10-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465231&article.offset=0&articleLimit=500
43,5792,[수업],[11/3(금)] 2023-2학기 졸업전공시험 실시 안내,2023-10-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465174&article.offset=0&articleLimit=500
44,5791,[수업],2023-2학기 출석미달(주의) 대상자 알림,2023-10-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465135&article.offset=0&articleLimit=500
45,5790,[장학],2023년 하반기 울산연구원 장학생 선발 공고 안내,2023-10-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465049&article.offset=0&articleLimit=500
46,5789,[수업],2023학년도 2학기 취업진로교육 졸업의무과정 시행 안내,2023-10-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464980&article.offset=0&articleLimit=500
47,5788,,[근로][마감] 2023-2학기 프랭크버거(생협) 근로장학생(조리보조) 추가모집,2023-10-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464673&article.offset=0&articleLimit=500
48,5787,,[근로][마감] 2023-2학기 분식당(생협) 근로장학생(식기세척) 추가모집,2023-10-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464670&article.offset=0&articleLimit=500
49,5786,[대학원],[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 지원 마감 안내(재원 소진),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464514&article.offset=0&articleLimit=500
50,5785,[대학원],도서관 DBpia 이용교육 안내(10월),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464419&article.offset=0&articleLimit=500
51,5784,[대학원],도서관 KSDC DB 이용교육 안내(10월),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464409&article.offset=0&articleLimit=500
52,5783,[대학원],2023-2학기 대학원별 지도교수 배정 신청 안내,2023-09-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464297&article.offset=0&articleLimit=500
53,5782,[장학],[마감]2023학년도 2학기 푸름관 식당 자체 근로장학생(식기세척) 추가 모집,2023-09-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464088&article.offset=0&articleLimit=500
54,5781,[장학],통영시 대학생 등록금 전액 지원사업 안내,2023-09-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464083&article.offset=0&articleLimit=500
55,5780,[대학원],2023-2학기 대학원별 졸업종합시험 일시 및 장소 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463963&article.offset=0&articleLimit=500
